session_id,start_time,end_time,start_ts,end_ts,duration,keypresses
87,2020-08-11T22:20:20.447000000,2020-08-11T22:20:34.851000000,2020-08-11T22:20:20.447000000,2020-08-11T22:20:34.851000000,14404000000 nanoseconds,50
88,2020-08-11T22:26:09.739000000,2020-08-11T22:27:07.571000000,2020-08-11T22:26:09.739000000,2020-08-11T22:27:07.571000000,57832000000 nanoseconds,31
89,2020-08-11T22:50:42.487000000,2020-08-11T22:50:48.888000000,2020-08-11T22:50:42.487000000,2020-08-11T22:50:48.888000000,6401000000 nanoseconds,13
90,2020-08-12T06:35:59.032000000,2020-08-12T06:37:05.208000000,2020-08-12T06:35:59.032000000,2020-08-12T06:37:05.208000000,66176000000 nanoseconds,192
91,2020-08-12T06:41:27.725000000,2020-08-12T06:41:50.087000000,2020-08-12T06:41:27.725000000,2020-08-12T06:41:50.087000000,22362000000 nanoseconds,9
92,2020-08-12T06:57:09.537000000,2020-08-12T06:57:18.574000000,2020-08-12T06:57:09.537000000,2020-08-12T06:57:18.574000000,9037000000 nanoseconds,10
93,2020-08-12T07:00:13.755000000,2020-08-12T07:00:17.796000000,2020-08-12T07:00:13.755000000,2020-08-12T07:00:17.796000000,4041000000 nanoseconds,19
94,2020-08-12T07:01:50.800000000,2020-08-12T07:01:59.933000000,2020-08-12T07:01:50.800000000,2020-08-12T07:01:59.933000000,9133000000 nanoseconds,26
95,2020-08-12T07:03:36.774000000,2020-08-12T07:04:38.456000000,2020-08-12T07:03:36.774000000,2020-08-12T07:04:38.456000000,61682000000 nanoseconds,127
96,2020-08-12T07:14:56.461000000,2020-08-12T07:15:55.055000000,2020-08-12T07:14:56.461000000,2020-08-12T07:15:55.055000000,58594000000 nanoseconds,125
97,2020-08-12T07:17:50.152000000,2020-08-12T07:20:16.328000000,2020-08-12T07:17:50.152000000,2020-08-12T07:20:16.328000000,146176000000 nanoseconds,310
98,2020-08-12T07:24:27.096000000,2020-08-12T07:24:48.923000000,2020-08-12T07:24:27.096000000,2020-08-12T07:24:48.923000000,21827000000 nanoseconds,57
99,2020-08-12T08:38:21.966000000,2020-08-12T08:38:49.066000000,2020-08-12T08:38:21.966000000,2020-08-12T08:38:49.066000000,27100000000 nanoseconds,74
